venue,innings,batting_team,bowling_team,team1avgscore,team2avgecoscore,team1vsteam2avgscore,team1venueavgscore,team2venueavgecoscore,venueavgscore,Totalppscore
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,44,45,39,44,39,44,56
Barabati Stadium,2,Pune Warriors,Sunrisers Hyderabad,42,42,45,48,39,43,48
Barabati Stadium,1,Sunrisers Hyderabad,Pune Warriors,45,43,52,47,33,43,33
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,45,45,41,46,45,45,53
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,43,46,43,45,45,45,33
Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,43,42,34,42,51,45,42
Subrata Roy Sahara Stadium,2,Pune Warriors,Mumbai Indians,42,42,31,41,37,45,37
MA Chidambaram Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,45,42,44,46,34,47,55
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,45,46,47,57,46,47,47
Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,42,42,64,42,64,42,64
Punjab Cricket Association Stadium,1,Rajasthan Royals,Punjab Kings,44,45,50,45,42,46,60
Eden Gardens,2,Pune Warriors,Kolkata Knight Riders,42,44,44,44,42,42,44
Punjab Cricket Association Stadium,2,Punjab Kings,Rajasthan Royals,45,45,51,51,67,47,33
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,45,41,41,33,36,39,52
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,43,46,49,43,47,39,46
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,45,45,40,32,46,45,46
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,43,42,36,44,46,45,46
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Capitals,42,45,41,39,49,49,60
Arun Jaitley Stadium,1,Delhi Capitals,Kolkata Knight Riders,47,44,47,49,51,49,50
Rajiv Gandhi International Stadium,1,Punjab Kings,Sunrisers Hyderabad,45,42,47,51,45,43,51
Subrata Roy Sahara Stadium,2,Rajasthan Royals,Pune Warriors,44,43,49,49,49,44,49
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Punjab Kings,45,46,49,41,49,44,39
Subrata Roy Sahara Stadium,1,Pune Warriors,Rajasthan Royals,42,45,35,40,35,44,35
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,43,42,43,41,37,39,35
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,43,45,42,43,36,39,25
Rajiv Gandhi International Stadium,2,Delhi Capitals,Sunrisers Hyderabad,47,42,41,34,46,43,64
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,45,44,48,44,45,45,36
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Delhi Capitals,45,45,44,41,34,44,33
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,44,46,48,44,46,44,28
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,43,43,49,66,49,43,66
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,41,45,50,39,50,45,50
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,43,44,49,44,42,42,49
MA Chidambaram Stadium,2,Chennai Super Kings,Delhi Capitals,45,45,48,46,42,47,45
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,42,42,36,42,43,42,32
MA Chidambaram Stadium,1,Delhi Capitals,Chennai Super Kings,47,46,51,49,46,47,27
Punjab Cricket Association Stadium,1,Sunrisers Hyderabad,Punjab Kings,44,46,48,47,43,46,47
Sawai Mansingh Stadium,1,Rajasthan Royals,Pune Warriors,44,44,41,44,45,44,45
Punjab Cricket Association Stadium,2,Punjab Kings,Sunrisers Hyderabad,45,43,47,50,44,46,44
Sawai Mansingh Stadium,2,Pune Warriors,Rajasthan Royals,42,44,42,33,44,44,33
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,45,44,46,37,42,42,51
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,42,45,42,42,37,42,50
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,43,41,42,44,31,45,40
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,43,45,40,37,46,45,31
Arun Jaitley Stadium,1,Punjab Kings,Delhi Capitals,45,45,50,52,50,49,47
Arun Jaitley Stadium,2,Delhi Capitals,Punjab Kings,47,46,49,49,60,49,37
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,42,41,36,26,37,39,32
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,43,45,49,42,26,39,26
Arun Jaitley Stadium,2,Delhi Capitals,Royal Challengers Bangalore,47,45,51,48,51,49,51
Himachal Pradesh Cricket Association Stadium,2,Punjab Kings,Chennai Super Kings,45,45,44,42,43,43,43
Arun Jaitley Stadium,1,Royal Challengers Bangalore,Delhi Capitals,43,45,44,52,50,49,42
Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,Punjab Kings,45,45,46,25,45,43,25
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,45,44,49,41,50,44,57
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,44,43,47,52,47,44,41
Himachal Pradesh Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,47,45,47,44,42,42,44
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,41,44,36,41,40,46,40
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,42,44,54,27,51,45,27
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,45,45,50,42,20,42,20
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,43,44,39,35,44,44,44
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,43,43,37,35,46,44,40
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,44,41,41,44,34,44,31
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,45,45,41,42,41,44,23
Subrata Roy Sahara Stadium,2,Delhi Capitals,Kolkata Knight Riders,47,44,48,49,49,44,49
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Delhi Capitals,42,45,43,48,48,44,48
M Chinnaswamy Stadium,2,Mumbai Indians,Chennai Super Kings,43,45,49,36,42,45,54
M Chinnaswamy Stadium,1,Chennai Super Kings,Mumbai Indians,45,41,42,40,33,45,30
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,45,45,48,46,43,46,48
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,47,45,48,44,46,46,46
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,42,45,43,42,46,46,56
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,45,44,47,46,50,47,53
Eden Gardens,2,Kolkata Knight Riders,Delhi Capitals,42,45,44,42,41,42,46
Eden Gardens,1,Delhi Capitals,Kolkata Knight Riders,47,44,48,43,42,42,45
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,43,44,39,39,45,44,38
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,43,41,42,44,32,44,31
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Pune Warriors,44,43,47,41,34,43,34
Rajiv Gandhi International Stadium,2,Pune Warriors,Sunrisers Hyderabad,41,43,45,27,46,43,27
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,44,45,41,39,49,49,44
MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,43,46,49,49,46,47,41
Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,47,44,45,48,49,49,39
MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,45,41,41,47,51,47,36
Subrata Roy Sahara Stadium,2,Punjab Kings,Pune Warriors,45,43,36,56,48,44,56
Rajiv Gandhi International Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,43,42,38,37,45,43,40
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,44,44,39,40,35,42,37
Subrata Roy Sahara Stadium,1,Pune Warriors,Punjab Kings,41,45,37,41,24,45,24
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,42,44,38,46,44,44,40
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,44,44,43,43,37,43,35
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,43,42,38,44,46,44,47
Wankhede Stadium,2,Delhi Capitals,Mumbai Indians,47,41,46,30,36,38,46
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,44,44,39,37,45,44,40
Wankhede Stadium,1,Mumbai Indians,Delhi Capitals,43,45,45,41,54,39,38
Punjab Cricket Association Stadium,1,Punjab Kings,Chennai Super Kings,45,46,44,50,60,46,43
Punjab Cricket Association Stadium,2,Chennai Super Kings,Punjab Kings,45,45,44,42,43,46,38
Subrata Roy Sahara Stadium,2,Pune Warriors,Rajasthan Royals,40,44,39,39,64,44,64
Subrata Roy Sahara Stadium,1,Rajasthan Royals,Pune Warriors,43,43,42,44,49,45,44
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,44,49,53,45,44,42
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,43,44,40,44,39,44,37
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,44,45,43,50,49,48,38
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,47,42,43,48,39,48,29
Wankhede Stadium,1,Mumbai Indians,Pune Warriors,43,43,36,41,29,39,48
Wankhede Stadium,2,Pune Warriors,Mumbai Indians,41,41,32,31,37,39,40
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,43,46,43,46,46,46,33
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,45,44,47,46,50,46,31
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,43,45,51,43,60,43,48
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,42,42,39,42,39,42,48
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,44,44,45,42,42,42,38
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,45,44,49,50,44,43,34
MA Chidambaram Stadium,1,Pune Warriors,Chennai Super Kings,41,45,46,46,46,46,48
MA Chidambaram Stadium,2,Chennai Super Kings,Pune Warriors,45,44,39,46,43,46,38
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Capitals,42,45,44,43,43,44,48
Punjab Cricket Association Stadium,2,Kolkata Knight Riders,Punjab Kings,42,45,46,44,43,46,45
M Chinnaswamy Stadium,1,Delhi Capitals,Royal Challengers Bangalore,46,44,51,60,45,44,43
Punjab Cricket Association Stadium,1,Punjab Kings,Kolkata Knight Riders,45,44,46,49,45,46,35
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,43,41,40,43,33,43,58
Subrata Roy Sahara Stadium,2,Pune Warriors,Sunrisers Hyderabad,41,42,42,41,41,45,41
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,43,44,40,37,43,43,26
Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,Pune Warriors,44,43,44,25,48,45,25
Arun Jaitley Stadium,1,Chennai Super Kings,Delhi Capitals,45,45,48,51,49,48,39
Arun Jaitley Stadium,2,Delhi Capitals,Chennai Super Kings,46,45,48,47,50,48,32
Rajiv Gandhi International Stadium,1,Punjab Kings,Sunrisers Hyderabad,45,42,47,51,45,42,36
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Punjab Kings,44,45,48,40,45,42,33
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,43,44,45,44,56,44,48
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,42,45,44,43,40,42,47
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,44,44,40,39,45,44,31
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,44,44,48,41,42,42,27
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,46,41,46,47,51,47,60
Punjab Cricket Association Stadium,2,Punjab Kings,Pune Warriors,45,43,41,49,36,46,55
Punjab Cricket Association Stadium,1,Pune Warriors,Punjab Kings,41,45,35,34,43,46,48
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,42,45,44,51,48,48,24
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,44,44,47,46,54,46,58
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,44,45,46,54,46,46,55
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,43,43,55,44,49,44,62
Arun Jaitley Stadium,2,Punjab Kings,Delhi Capitals,45,44,47,51,47,47,56
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,41,44,50,50,44,44,43
Arun Jaitley Stadium,1,Delhi Capitals,Punjab Kings,46,45,47,47,54,47,40
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,42,41,35,43,40,42,61
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,42,44,46,45,42,42,42
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,44,42,45,46,39,46,58
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,44,45,47,54,46,46,40
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,45,44,45,45,42,42,45
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,42,45,46,43,49,42,45
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,42,44,39,41,32,39,52
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,43,41,41,39,37,39,35
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,44,42,46,44,56,43,30
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,43,44,50,53,43,43,25
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,45,44,45,46,50,46,67
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,42,45,44,45,46,47,63
Shaheed Veer Narayan Singh International Stadium,2,Pune Warriors,Delhi Capitals,41,44,47,43,43,43,43
Shaheed Veer Narayan Singh International Stadium,1,Delhi Capitals,Pune Warriors,46,44,51,37,37,37,37
Wankhede Stadium,2,Punjab Kings,Mumbai Indians,45,41,43,37,37,39,55
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,43,44,46,46,42,43,55
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,43,44,39,43,43,43,45
Wankhede Stadium,1,Mumbai Indians,Punjab Kings,42,45,41,42,44,39,36
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,41,45,46,41,46,44,46
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,45,43,39,29,46,44,29
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,42,42,42,56,44,42,41
Shaheed Veer Narayan Singh International Stadium,1,Kolkata Knight Riders,Delhi Capitals,43,44,44,37,37,40,37
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,43,41,42,40,34,42,36
Shaheed Veer Narayan Singh International Stadium,2,Delhi Capitals,Kolkata Knight Riders,46,44,47,34,34,39,34
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,42,44,48,41,39,43,39
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,45,44,43,47,47,47,36
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,45,45,44,38,46,47,36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,43,43,56,30,44,43,30
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,43,44,38,43,34,43,48
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,43,44,42,42,42,43,32
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Capitals,43,44,43,39,33,42,41
Rajiv Gandhi International Stadium,1,Delhi Capitals,Sunrisers Hyderabad,46,42,42,44,44,42,26
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,41,44,45,41,43,43,57
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,43,43,43,43,39,43,53
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,42,45,49,42,47,39,32
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,45,41,40,36,38,39,30
Punjab Cricket Association Stadium,1,Royal Challengers Bangalore,Punjab Kings,43,44,42,45,43,46,58
Punjab Cricket Association Stadium,2,Punjab Kings,Royal Challengers Bangalore,45,44,42,49,41,46,41
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Capitals,43,44,41,43,44,43,49
Sawai Mansingh Stadium,1,Delhi Capitals,Rajasthan Royals,46,44,44,46,43,43,42
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,42,44,46,41,44,39,41
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,43,41,37,28,37,39,38
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,44,42,46,50,43,41,50
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,43,45,46,40,49,42,49
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,43,43,45,37,43,43,50
Punjab Cricket Association Stadium,2,Rajasthan Royals,Punjab Kings,44,45,51,49,43,46,38
Punjab Cricket Association Stadium,1,Punjab Kings,Rajasthan Royals,45,44,48,49,59,46,37
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,42,44,37,41,44,43,34
Arun Jaitley Stadium,2,Delhi Capitals,Royal Challengers Bangalore,46,44,50,47,51,47,49
Arun Jaitley Stadium,1,Royal Challengers Bangalore,Delhi Capitals,43,44,44,50,48,47,40
Punjab Cricket Association Stadium,2,Punjab Kings,Sunrisers Hyderabad,45,42,46,48,59,46,41
Subrata Roy Sahara Stadium,2,Mumbai Indians,Pune Warriors,42,43,38,37,44,42,37
Punjab Cricket Association Stadium,1,Sunrisers Hyderabad,Punjab Kings,43,44,46,44,43,46,37
Subrata Roy Sahara Stadium,1,Pune Warriors,Mumbai Indians,42,41,34,41,36,42,36
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,44,44,48,41,43,43,37
JSCA International Stadium Complex,2,Kolkata Knight Riders,Royal Challengers Bangalore,43,44,48,31,31,31,31
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,43,45,46,44,40,43,24
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Kolkata Knight Riders,43,43,39,22,22,22,22
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,43,41,41,35,37,39,51
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,42,42,42,41,28,39,39
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,46,45,46,44,46,46,49
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,44,44,47,46,44,46,47
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,45,44,42,48,44,44,46
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,43,44,44,44,42,44,31
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,42,44,38,41,36,39,43
JSCA International Stadium Complex,1,Pune Warriors,Kolkata Knight Riders,41,43,36,42,42,26,42
JSCA International Stadium Complex,2,Kolkata Knight Riders,Pune Warriors,43,43,46,33,33,31,33
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,43,41,42,51,38,39,29
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,45,44,47,39,31,40,53
Himachal Pradesh Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,46,44,46,43,42,41,21
Rajiv Gandhi International Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43,42,44,48,43,42,33
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,43,44,47,40,52,41,21
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,42,45,42,44,45,44,76
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,44,44,46,37,44,44,56
Himachal Pradesh Cricket Association Stadium,2,Mumbai Indians,Punjab Kings,42,44,40,51,39,40,51
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Mumbai Indians,45,41,44,40,35,40,35
Subrata Roy Sahara Stadium,2,Delhi Capitals,Pune Warriors,45,43,48,55,43,42,47
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,43,43,44,39,46,41,45
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Capitals,41,44,46,40,38,42,40
Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,42,42,40,41,43,41,32
Arun Jaitley Stadium,2,Mumbai Indians,Chennai Super Kings,42,45,47,46,46,47,56
Arun Jaitley Stadium,1,Chennai Super Kings,Mumbai Indians,44,41,40,48,52,47,47
Arun Jaitley Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43,42,43,40,37,47,44
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,43,44,45,48,47,47,27
Eden Gardens,2,Mumbai Indians,Rajasthan Royals,42,44,39,44,36,42,45
Eden Gardens,1,Rajasthan Royals,Mumbai Indians,43,41,41,40,44,42,42
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,45,41,40,38,44,42,35
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,42,45,48,44,42,42,34
Narendra Modi Stadium,2,Mumbai Indians,Kolkata Knight Riders,42,43,45,32,32,32,32
Narendra Modi Stadium,1,Kolkata Knight Riders,Mumbai Indians,42,41,37,31,31,31,31
Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Delhi Capitals,43,44,44,50,50,50,50
Sharjah Cricket Stadium,1,Delhi Capitals,Royal Challengers Bangalore,45,44,50,30,30,30,30
Narendra Modi Stadium,1,Chennai Super Kings,Punjab Kings,44,44,42,70,70,31,70
Narendra Modi Stadium,2,Punjab Kings,Chennai Super Kings,45,45,43,63,63,44,63
Narendra Modi Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,43,44,43,41,41,49,41
Narendra Modi Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43,42,43,30,30,47,30
Dubai International Cricket Stadium,2,Delhi Capitals,Kolkata Knight Riders,45,43,46,49,49,49,49
Dubai International Cricket Stadium,1,Mumbai Indians,Royal Challengers Bangalore,42,44,40,49,49,49,49
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Delhi Capitals,42,44,43,31,31,49,31
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Mumbai Indians,43,41,40,30,30,43,30
Sharjah Cricket Stadium,1,Rajasthan Royals,Punjab Kings,43,44,50,53,53,40,53
Sharjah Cricket Stadium,2,Punjab Kings,Rajasthan Royals,45,44,47,39,39,44,39
Narendra Modi Stadium,1,Chennai Super Kings,Delhi Capitals,45,44,47,34,34,44,34
Narendra Modi Stadium,2,Delhi Capitals,Chennai Super Kings,45,46,46,24,24,43,24
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Punjab Kings,43,44,46,45,45,43,45
Sharjah Cricket Stadium,1,Punjab Kings,Sunrisers Hyderabad,45,42,45,43,43,43,43
Dubai International Cricket Stadium,1,Chennai Super Kings,Rajasthan Royals,45,43,47,47,47,39,47
Dubai International Cricket Stadium,2,Rajasthan Royals,Chennai Super Kings,43,45,45,38,38,41,38
Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,43,43,38,49,49,43,49
Sharjah Cricket Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,44,47,42,42,44,42
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,43,44,43,55,55,40,55
Dubai International Cricket Stadium,2,Chennai Super Kings,Mumbai Indians,45,41,40,51,51,42,51
Dubai International Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,45,42,41,44,44,43,44
Dubai International Cricket Stadium,1,Mumbai Indians,Chennai Super Kings,42,45,47,31,31,43,31
Narendra Modi Stadium,1,Punjab Kings,Kolkata Knight Riders,45,43,45,51,51,40,51
Narendra Modi Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,43,44,39,36,36,41,36
Narendra Modi Stadium,2,Kolkata Knight Riders,Punjab Kings,42,44,46,24,24,41,24
Narendra Modi Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,43,44,46,22,22,39,22
Sharjah Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,45,42,46,47,47,43,47
Sharjah Cricket Stadium,1,Mumbai Indians,Delhi Capitals,42,44,43,37,37,44,37
Sharjah Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,43,45,46,37,37,43,37
Sharjah Cricket Stadium,2,Delhi Capitals,Mumbai Indians,45,41,47,31,31,42,31
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Punjab Kings,43,44,42,44,44,42,44
Dubai International Cricket Stadium,2,Punjab Kings,Royal Challengers Bangalore,45,44,42,33,33,42,33
Narendra Modi Stadium,1,Rajasthan Royals,Kolkata Knight Riders,43,43,41,33,41,38,41
Narendra Modi Stadium,2,Kolkata Knight Riders,Rajasthan Royals,42,43,39,27,31,38,33
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,43,41,42,44,40,41,44
Dubai International Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,42,42,41,40,32,42,32
JSCA International Stadium Complex,1,Chennai Super Kings,Kolkata Knight Riders,45,43,47,43,32,32,43
JSCA International Stadium Complex,2,Kolkata Knight Riders,Chennai Super Kings,42,45,46,32,39,34,39
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,42,44,41,41,42,39,49
Arun Jaitley Stadium,1,Delhi Capitals,Rajasthan Royals,45,43,44,47,43,47,46
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Capitals,43,44,42,41,47,47,38
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,45,41,43,41,37,39,36
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,43,43,39,37,44,44,43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,43,42,38,45,46,44,36
Sardar Patel Stadium,1,Rajasthan Royals,Kolkata Knight Riders,43,43,41,53,50,53,50
Sardar Patel Stadium,2,Kolkata Knight Riders,Rajasthan Royals,42,43,38,50,52,52,50
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,45,44,46,48,47,47,49
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,45,45,45,47,48,47,46
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,43,41,40,38,37,39,64
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,42,43,40,41,37,39,50
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Capitals,42,44,42,46,47,47,52
Barabati Stadium,2,Chennai Super Kings,Punjab Kings,45,44,45,46,46,42,46
Barabati Stadium,1,Punjab Kings,Chennai Super Kings,45,45,45,38,38,42,38
